LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,TS,WS50M,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOT,QV2M,T2MDEW,WS50M_MAX,WS50M_MIN
20.24321,85.84161,2016,2,1,5.02,25.31,2.87,24.62,18.42,31.8,61.75,0.01,11.88,16.33,4.89,0.86
20.24321,85.84161,2016,2,2,4.69,26.05,2.79,25.22,20.78,31.01,68.74,0,13.72,18.95,4.6,0.86
20.24321,85.84161,2016,2,3,4.3,26.34,3.39,25.06,20.86,30.82,69.8,0,13.8,19.08,5.83,1.45
20.24321,85.84161,2016,2,4,4.68,26.01,2.86,24.58,21.27,29.61,68.78,0.04,13.2,18.38,5.96,0.28
20.24321,85.84161,2016,2,5,4.81,25.62,3.18,23.96,19.24,29.85,66.91,0.01,12.37,17.32,5.83,0.97
20.24321,85.84161,2016,2,6,4.89,26.21,3.39,24.6,20.68,30.13,68.46,0,13.18,18.33,6.48,1.68
20.24321,85.84161,2016,2,7,4.64,26.3,4.41,24.87,20.9,30.27,70.81,0,13.84,19.17,6.36,3.06
20.24321,85.84161,2016,2,8,4.95,26.27,5.23,24.98,20.58,30.69,69.22,0.03,13.63,18.93,7.29,4.03
20.24321,85.84161,2016,2,9,4.85,26.49,3.74,25.3,20.94,31.13,63.78,0.01,12.8,17.77,5.35,1.87
20.24321,85.84161,2016,2,10,5.36,26.03,3.26,25.05,19.95,31.72,55.28,0,10.93,14.64,7.05,1.09
20.24321,85.84161,2016,2,11,4.9,26.76,6.77,25.78,20.96,31.7,69.63,0,14.41,19.74,7.7,5.91
20.24321,85.84161,2016,2,12,5.05,28.19,5.66,26.83,22.4,32.59,66.81,0,14.72,20.01,7.24,2.62
20.24321,85.84161,2016,2,13,4.84,28.04,4.24,26.62,22.12,32.5,64.51,0,14.02,19.26,6.19,2.11
20.24321,85.84161,2016,2,14,5.01,27.97,5,26.64,21.87,32.61,64.13,0,13.94,19.22,6.81,4.1
20.24321,85.84161,2016,2,15,5.23,28.21,3.89,27,22.27,33.09,57.29,0.04,12.69,17.69,6.17,2.25
20.24321,85.84161,2016,2,16,5.31,28.4,3.38,27.13,22.5,33.68,53.88,0,12.01,16.73,6.29,1.1
20.24321,85.84161,2016,2,17,5.46,28.9,3.24,27.45,22,34.69,50.62,0,11.49,16.06,7.27,0.23
20.24321,85.84161,2016,2,18,5.54,29.1,3.66,27.52,21.54,34.8,49.5,0,11.3,15.69,7.85,0.35
20.24321,85.84161,2016,2,19,5.53,29.19,4.9,28.04,21.32,36.18,45.88,0,10.79,14.75,8.35,1.57
20.24321,85.84161,2016,2,20,5.59,29.4,4.9,28.43,21.93,36.69,46.94,0,11.31,15.41,7.67,2.31
20.24321,85.84161,2016,2,21,5.31,29.28,5.61,28.38,22.31,36.05,51.78,0,12.48,16.7,7.39,4.22
20.24321,85.84161,2016,2,22,5.39,30.53,3.9,28.99,23.08,36.66,57.5,0,14.35,19.19,7.2,0.42
20.24321,85.84161,2016,2,23,4.88,29.74,5.39,28.33,24.12,34.29,66.11,0.03,15.9,21.23,7.23,3.91
20.24321,85.84161,2016,2,24,4.88,29.23,7.76,28.08,24.74,33.52,64.52,0.09,15.29,20.69,9.08,6.69
20.24321,85.84161,2016,2,25,3.88,28.67,5.67,27.32,24.28,31.66,69.19,2.91,15.66,21.14,7.2,4.87
20.24321,85.84161,2016,2,26,4.35,27.44,4.68,26.22,23.47,30.22,71.33,3.21,15.09,20.6,6.11,3.63
20.24321,85.84161,2016,2,27,3.34,25.69,2.31,24.76,22.11,28.46,69.62,2.41,13.49,18.76,4.79,0.23
20.24321,85.84161,2016,2,28,5.54,28.15,2.16,26.32,22.31,31.86,65.23,3.83,13.86,19.18,5.84,0.21
20.24321,85.84161,2016,2,29,5.32,29.43,3.23,27.42,22.58,33.44,60.31,0.78,13.67,18.82,6.89,0.48
20.24321,85.84161,2016,3,1,4.94,29.12,3.82,27.44,22.4,33.17,57.12,0.22,12.99,18.01,6.83,1.36
20.24321,85.84161,2016,3,2,5.19,29.35,4.26,27.71,23.01,33.77,56.51,0.06,13.05,18.15,7.11,2.38
20.24321,85.84161,2016,3,3,5.59,29.47,4.51,27.98,22.6,34.62,52.46,0,12.3,17.12,7.34,1.97
20.24321,85.84161,2016,3,4,5.21,29.32,5.4,28.27,22.17,35.14,47.19,0.01,11.27,15.46,7.83,2
20.24321,85.84161,2016,3,5,5.72,29.38,5.24,28.42,23.05,35.41,49.26,0.19,11.89,16.32,7.66,2.76
20.24321,85.84161,2016,3,6,5.85,29.75,4.81,28.73,24.42,35.64,52.2,0.1,12.83,17.47,7.17,2.62
20.24321,85.84161,2016,3,7,5.89,29.98,3.15,28.4,22.4,36.28,49.19,0.19,11.86,16.15,7.29,0.78
20.24321,85.84161,2016,3,8,5.95,29.87,4.63,28.46,22.19,36.36,48.77,0,11.8,16.08,6.91,2.71
20.24321,85.84161,2016,3,9,5.28,29.76,5.44,28.89,22.43,36.5,50.56,0,12.55,17.02,7.22,2.95
20.24321,85.84161,2016,3,10,5.56,30.32,4.99,29.24,24.29,36.19,52.06,0,13.19,17.88,7.49,2.46
20.24321,85.84161,2016,3,11,5.41,29.93,3.66,29.03,24.23,35.49,52.68,0.01,13.18,17.93,6.56,0.99
20.24321,85.84161,2016,3,12,5.58,30.41,3.71,29.25,24.49,36.39,54.08,0.02,13.72,18.53,7.52,1.37
20.24321,85.84161,2016,3,13,6.07,30.75,4.5,29.12,23.49,36.9,52.53,0.06,13.21,17.91,7.06,0.5
20.24321,85.84161,2016,3,14,5.44,28.92,3.58,27.35,22.62,33.94,57.64,1.49,13.06,17.88,6.66,0.56
20.24321,85.84161,2016,3,15,5.97,29.78,2.51,27.98,22.77,33.7,57.89,1.24,13.62,18.86,6.82,0.36
20.24321,85.84161,2016,3,16,6.13,31.18,3.92,29.53,24.25,35.58,52.32,0.16,13.48,18.61,7.05,0.87
20.24321,85.84161,2016,3,17,5.5,31.92,3.37,29.79,25.29,35.4,53.9,0.46,14.1,19.23,6.31,0.16
20.24321,85.84161,2016,3,18,6.13,32.09,3.91,29.73,24.72,36,57.63,0.98,15.05,20.32,7.76,2.06
20.24321,85.84161,2016,3,19,6.11,32.31,5.89,30.52,25.47,37.43,58.5,0.86,16.02,21.34,7.8,4.3
20.24321,85.84161,2016,3,20,6.39,32.67,4.47,31.35,25.14,39.3,47.62,0.25,13.66,17.8,5.52,3.04
20.24321,85.84161,2016,3,21,6.5,32.47,4.33,31.38,24.44,39.92,41.52,0.06,11.92,15.24,5.16,2.42
20.24321,85.84161,2016,3,22,6.41,33.22,3.9,30.97,24.81,38.46,50.88,0.06,14.3,18.6,6.57,0.56
20.24321,85.84161,2016,3,23,6.45,33.47,3.04,30.81,25.03,38.1,53.86,0,14.97,19.34,6.13,0.89
20.24321,85.84161,2016,3,24,6.39,33.5,3.5,30.65,25.28,37.56,55.53,0,15.26,19.9,6.79,0.93
20.24321,85.84161,2016,3,25,6.4,32.31,5.44,29.98,25.97,36.22,59.56,0,15.73,21.01,7.06,4.42
20.24321,85.84161,2016,3,26,6.41,32.45,5.24,30.03,24.59,37.2,59.56,0,15.8,20.96,8.31,3.3
20.24321,85.84161,2016,3,27,6.39,31.76,7.19,29.75,25.15,36.22,62.05,1.18,16.21,21.58,9.16,5.76
20.24321,85.84161,2016,3,28,6.19,31.56,4.58,29.53,25.04,35.62,60.96,2.99,15.71,21.01,7.93,1.38
20.24321,85.84161,2016,3,29,6.43,32.03,6.04,29.87,24.4,36.68,60.03,0.41,15.79,21.03,8.59,4.16
20.24321,85.84161,2016,3,30,3.89,32.15,7.02,30.11,25.68,36.72,61.58,2.04,16.42,21.75,8.79,4.67
20.24321,85.84161,2016,3,31,6.42,31.97,7.13,30.37,25.87,37.13,60.87,2.91,16.51,21.78,9.92,4.02
20.24321,85.84161,2016,4,1,6.55,32.96,6.02,30.87,25.48,38.24,56.28,0.78,15.72,20.6,9.17,2.02
20.24321,85.84161,2016,4,2,6.45,33.05,7.43,31.22,26.34,38.53,56.95,0.29,16.23,21.35,9.5,5.15
20.24321,85.84161,2016,4,3,6.57,33.55,7.15,31.58,26.23,39.25,56.68,0.14,16.48,21.45,9.12,4.89
20.24321,85.84161,2016,4,4,6.52,33.89,6.7,31.83,26.27,39.3,55.97,0.08,16.53,21.59,8.75,4.28
20.24321,85.84161,2016,4,5,4.15,34.2,6.45,32.32,26.1,40.6,51.3,0.06,15.59,20.44,9.33,4.65
