LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
20.24321,85.84161,2011,5,12,7.31
20.24321,85.84161,2011,5,13,7.3
20.24321,85.84161,2011,5,14,5.71
20.24321,85.84161,2011,5,15,7.32
20.24321,85.84161,2011,5,16,6.71
20.24321,85.84161,2011,5,17,7.08
20.24321,85.84161,2011,5,18,7.06
20.24321,85.84161,2011,5,19,7.14
20.24321,85.84161,2011,5,20,4.81
20.24321,85.84161,2011,5,21,6.58
20.24321,85.84161,2011,5,22,7.39
20.24321,85.84161,2011,5,23,7.1
20.24321,85.84161,2011,5,24,7.33
20.24321,85.84161,2011,5,25,6.64
20.24321,85.84161,2011,5,26,6.67
20.24321,85.84161,2011,5,27,7.36
20.24321,85.84161,2011,5,28,7.28
20.24321,85.84161,2011,5,29,6.86
20.24321,85.84161,2011,5,30,6.72
20.24321,85.84161,2011,5,31,7.23
20.24321,85.84161,2011,6,1,7.32
20.24321,85.84161,2011,6,2,7.02
20.24321,85.84161,2011,6,3,6.59
20.24321,85.84161,2011,6,4,6.7
20.24321,85.84161,2011,6,5,5.82
20.24321,85.84161,2011,6,6,7.04
20.24321,85.84161,2011,6,7,6.39
20.24321,85.84161,2011,6,8,5.68
20.24321,85.84161,2011,6,9,6.6
20.24321,85.84161,2011,6,10,5.68
20.24321,85.84161,2011,6,11,6.83
20.24321,85.84161,2011,6,12,6.11
20.24321,85.84161,2011,6,13,7.12
20.24321,85.84161,2011,6,14,6.01
20.24321,85.84161,2011,6,15,1.43
20.24321,85.84161,2011,6,16,2.1
20.24321,85.84161,2011,6,17,1.49
20.24321,85.84161,2011,6,18,3.54
20.24321,85.84161,2011,6,19,4.02
20.24321,85.84161,2011,6,20,5.91
20.24321,85.84161,2011,6,21,5.9
20.24321,85.84161,2011,6,22,6.34
20.24321,85.84161,2011,6,23,5.85
20.24321,85.84161,2011,6,24,6.26
20.24321,85.84161,2011,6,25,4.14
20.24321,85.84161,2011,6,26,2.94
20.24321,85.84161,2011,6,27,3.79
20.24321,85.84161,2011,6,28,5.42
20.24321,85.84161,2011,6,29,5.22
20.24321,85.84161,2011,6,30,4.94
20.24321,85.84161,2011,7,1,5.37
20.24321,85.84161,2011,7,2,4.47
20.24321,85.84161,2011,7,3,4.32
20.24321,85.84161,2011,7,4,2.85
20.24321,85.84161,2011,7,5,4.47
20.24321,85.84161,2011,7,6,4.62
20.24321,85.84161,2011,7,7,2.58
20.24321,85.84161,2011,7,8,5.1
20.24321,85.84161,2011,7,9,5.77
20.24321,85.84161,2011,7,10,6.44
20.24321,85.84161,2011,7,11,5.18
20.24321,85.84161,2011,7,12,3.64
20.24321,85.84161,2011,7,13,3.96
20.24321,85.84161,2011,7,14,5.03
20.24321,85.84161,2011,7,15,5.15
20.24321,85.84161,2011,7,16,4.24
20.24321,85.84161,2011,7,17,1.35
20.24321,85.84161,2011,7,18,3.43
20.24321,85.84161,2011,7,19,3.12
20.24321,85.84161,2011,7,20,3.4
20.24321,85.84161,2011,7,21,1.9
20.24321,85.84161,2011,7,22,3.07
20.24321,85.84161,2011,7,23,4.64
20.24321,85.84161,2011,7,24,5.88
20.24321,85.84161,2011,7,25,4.57
20.24321,85.84161,2011,7,26,5.6
20.24321,85.84161,2011,7,27,5.24
20.24321,85.84161,2011,7,28,6.14
20.24321,85.84161,2011,7,29,6.64
20.24321,85.84161,2011,7,30,6.57
20.24321,85.84161,2011,7,31,6.31
20.24321,85.84161,2011,8,1,6.08
20.24321,85.84161,2011,8,2,5.99
20.24321,85.84161,2011,8,3,3.67
20.24321,85.84161,2011,8,4,3.8
20.24321,85.84161,2011,8,5,3.48
20.24321,85.84161,2011,8,6,3.23
20.24321,85.84161,2011,8,7,3.63
20.24321,85.84161,2011,8,8,3.29
20.24321,85.84161,2011,8,9,3.13
20.24321,85.84161,2011,8,10,3.56
20.24321,85.84161,2011,8,11,2.41
20.24321,85.84161,2011,8,12,2.22
20.24321,85.84161,2011,8,13,5.08
20.24321,85.84161,2011,8,14,3.79
20.24321,85.84161,2011,8,15,3.89
20.24321,85.84161,2011,8,16,5.08
20.24321,85.84161,2011,8,17,4.45
20.24321,85.84161,2011,8,18,4.22
20.24321,85.84161,2011,8,19,2.68
